model,MAE,RMSE,R2,train_time_s,inference_time_s,inference_time_per_sample_s,n_features,removed_low_variance_columns,params_json,search_strategy,selected_by,n_configs_evaluated,search_time_s
RandomForest,41.61422915527972,55.95818708647757,0.6019707850933032,26.01812169999903,0.0888184000068577,7.429393559753885e-06,25,,"{""max_depth"": 10, ""min_samples_leaf"": 3, ""n_estimators"": 300}",limited_random_search,RMSE_validation,12,383.7944934000043
RandomForest,41.60997539042132,55.96229164982123,0.6019123916346159,18.06880149999779,0.06789230000140378,5.678987871301028e-06,25,,"{""max_depth"": 10, ""min_samples_leaf"": 3, ""n_estimators"": 200}",limited_random_search,RMSE_validation,12,383.7944934000043
RandomForest,41.0309318893602,55.967649120101306,0.6018361672858502,40.52676950000023,0.15080690000468167,1.2614546215364422e-05,25,,"{""max_depth"": 20, ""min_samples_leaf"": 3, ""n_estimators"": 300}",limited_random_search,RMSE_validation,12,383.7944934000043
RandomForest,41.086353041541564,55.96967762238722,0.6018073045090742,45.26932030000171,0.21108020000247052,1.7656227520072815e-05,25,,"{""max_depth"": 20, ""min_samples_leaf"": 1, ""n_estimators"": 300}",limited_random_search,RMSE_validation,12,383.7944934000043
RandomForest,41.016931756274424,55.974527771235756,0.601738289370686,27.57900459999655,0.1099670999974478,9.19841907130471e-06,25,,"{""max_depth"": 20, ""min_samples_leaf"": 3, ""n_estimators"": 200}",limited_random_search,RMSE_validation,12,383.7944934000043
RandomForest,41.661022778450864,55.985383034573026,0.601583802852425,17.20870129999821,0.0684802000032505,5.728163948410749e-06,25,,"{""max_depth"": 10, ""min_samples_leaf"": 1, ""n_estimators"": 200}",limited_random_search,RMSE_validation,12,383.7944934000043
RandomForest,41.66970301024587,55.98920105543364,0.6015294596242968,25.510835000000952,0.08962549999705516,7.496905060397755e-06,25,,"{""max_depth"": 10, ""min_samples_leaf"": 1, ""n_estimators"": 300}",limited_random_search,RMSE_validation,12,383.7944934000043
RandomForest,41.08033215934931,55.989889346732454,0.6015196625389159,30.01355219999823,0.18419939999876078,1.5407728983585177e-05,25,,"{""max_depth"": 20, ""min_samples_leaf"": 1, ""n_estimators"": 200}",limited_random_search,RMSE_validation,12,383.7944934000043
RandomForest,41.06707739698103,56.03983801668266,0.6008083755158491,43.99848809999821,0.17231689999607624,1.4413793391558029e-05,25,,"{""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}",limited_random_search,RMSE_validation,12,383.7944934000043
RandomForest,41.05020979246554,56.04644026968111,0.6007143095996869,27.00367639999604,0.10876099999586586,9.09753241287042e-06,25,,"{""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 200}",limited_random_search,RMSE_validation,12,383.7944934000043
